castaway_id,season,total_challenges_competed,total_won,win_percentage
US0148,10,25,15,0.6
US0149,10,25,11,0.44
US0150,10,25,17,0.68
US0141,11,16,8,0.5
US0144,11,25,6,0.24
US0151,11,2,1,0.5
US0152,11,4,1,0.25
US0153,11,6,1,0.16666666666666666
US0154,11,7,5,0.7142857142857143
US0155,11,9,7,0.7777777777777778
US0156,11,11,7,0.6363636363636364
US0157,11,11,3,0.2727272727272727
US0158,11,13,4,0.3076923076923077
US0159,11,14,8,0.5714285714285714
US0160,11,18,5,0.2777777777777778
US0161,11,20,6,0.3
US0162,11,21,10,0.47619047619047616
US0163,11,23,10,0.43478260869565216
US0164,11,24,4,0.16666666666666666
US0165,11,25,8,0.32
US0166,11,25,11,0.44
US0167,12,2,1,0.5
US0168,12,4,1,0.25
US0169,12,6,4,0.6666666666666666
US0170,12,8,4,0.5
US0171,12,10,6,0.6
US0172,12,11,6,0.5454545454545454
US0173,12,12,6,0.5
US0174,12,14,6,0.42857142857142855
US0175,12,16,7,0.4375
US0176,12,17,9,0.5294117647058824
US0177,12,19,8,0.42105263157894735
US0178,12,21,7,0.3333333333333333
US0179,12,23,7,0.30434782608695654
US0180,12,25,15,0.6
US0181,12,25,8,0.32
US0182,12,25,10,0.4
US0183,13,1,0,0
US0184,13,2,1,0.5
US0185,13,3,1,0.3333333333333333
US0186,13,5,2,0.4
US0187,13,7,3,0.42857142857142855
US0188,13,8,6,0.75
US0189,13,8,3,0.375
US0190,13,10,7,0.7
US0191,13,12,5,0.4166666666666667
US0192,13,14,4,0.2857142857142857
US0193,13,14,5,0.35714285714285715
US0194,13,15,4,0.26666666666666666
US0195,13,16,7,0.4375
US0196,13,18,7,0.3888888888888889
US0197,13,20,7,0.35
US0198,13,21,6,0.2857142857142857
US0199,13,22,10,0.45454545454545453
US0200,13,22,11,0.5
US0201,13,22,16,0.7272727272727273
US0202,13,22,12,0.5454545454545454
US0203,14,1,0,0
US0204,14,2,0,0
US0205,14,4,0,0
US0206,14,5,4,0.8
US0207,14,6,6,1
US0208,14,8,0,0
US0209,14,9,0,0
US0210,14,11,1,0.09090909090909091
US0211,14,13,9,0.6923076923076923
US0212,14,14,4,0.2857142857142857
US0213,14,16,10,0.625
US0214,14,18,1,0.05555555555555555
US0215,14,20,10,0.5
US0216,14,22,15,0.6818181818181818
US0217,14,23,17,0.7391304347826086
US0218,14,24,8,0.3333333333333333
US0219,14,24,11,0.4583333333333333
US0220,14,24,14,0.5833333333333334
US0221,14,24,6,0.25
US0222,15,1,0,0
US0223,15,3,0,0
US0224,15,5,3,0.6
US0225,15,7,2,0.2857142857142857
US0226,15,8,5,0.625
US0227,15,10,4,0.4
US0228,15,11,3,0.2727272727272727
US0229,15,13,8,0.6153846153846154
US0230,15,15,6,0.4
US0231,15,17,7,0.4117647058823529
US0232,15,19,5,0.2631578947368421
US0233,15,21,6,0.2857142857142857
US0234,15,23,9,0.391304347826087
US0235,15,23,12,0.5217391304347826
US0236,15,23,9,0.391304347826087
US0237,15,23,8,0.34782608695652173
US0111,16,2,0,0
US0125,16,14,5,0.35714285714285715
US0127,16,15,10,0.6666666666666666
US0179,16,24,5,0.20833333333333334
US0196,16,10,6,0.6
US0197,16,24,11,0.4583333333333333
US0201,16,17,6,0.35294117647058826
US0218,16,5,3,0.6
US0231,16,19,10,0.5263157894736842
US0235,16,24,8,0.3333333333333333
US0238,16,3,1,0.3333333333333333
US0239,16,7,2,0.2857142857142857
US0240,16,9,2,0.2222222222222222
US0241,16,11,2,0.18181818181818182
US0242,16,12,7,0.5833333333333334
US0243,16,13,3,0.23076923076923078
US0244,16,18,10,0.5555555555555556
US0245,16,20,9,0.45
US0246,16,22,8,0.36363636363636365
US0247,16,23,8,0.34782608695652173
US0248,17,2,0,0
US0249,17,3,0,0
US0250,17,5,3,0.6
US0251,17,6,3,0.5
US0252,17,8,3,0.375
US0253,17,10,3,0.3
US0254,17,12,3,0.25
US0255,17,12,8,0.6666666666666666
US0256,17,13,10,0.7692307692307693
US0257,17,15,11,0.7333333333333333
US0258,17,16,10,0.625
US0259,17,18,11,0.6111111111111112
US0260,17,20,2,0.1
US0261,17,21,3,0.14285714285714285
US0262,17,22,4,0.18181818181818182
US0263,17,22,5,0.22727272727272727
US0264,17,22,11,0.5
US0265,17,22,14,0.6363636363636364
US0266,18,1,0,0
US0267,18,2,1,0.5
US0268,18,4,1,0.25
US0269,18,6,4,0.6666666666666666
US0270,18,8,5,0.625
US0271,18,10,5,0.5
US0272,18,11,5,0.45454545454545453
