castaway_id,season,total_challenges_competed,total_won,win_percentage
US0678,45,6,1,0.16666666666666666
US0679,45,9,7,0.7777777777777778
US0680,46,18,6,0.3333333333333333
US0681,46,6,1,0.16666666666666666
US0682,46,18,8,0.4444444444444444
US0683,46,2,0,0
US0684,46,11,9,0.8181818181818182
US0685,46,7,4,0.5714285714285714
US0686,46,3,0,0
US0687,46,18,5,0.2777777777777778
US0688,46,18,8,0.4444444444444444
US0689,46,17,7,0.4117647058823529
US0690,46,8,4,0.5
US0691,46,16,4,0.25
US0692,46,4,4,1
US0693,46,9,8,0.8888888888888888
US0694,46,10,9,0.9
US0695,46,13,3,0.23076923076923078
US0696,46,9,5,0.5555555555555556
US0697,46,14,8,0.5714285714285714
