season,castaway_id,num_confessionals,num_episodes,confessionals_per_episode
11,US0159,28,8,3.5
11,US0160,16,10,1.6
11,US0161,37,11,3.3636363636363638
11,US0162,40,12,3.3333333333333335
11,US0163,37,13,2.8461538461538463
11,US0164,21,14,1.5
11,US0165,52,14,3.7142857142857144
11,US0166,41,14,2.9285714285714284
12,US0167,3,1,3
12,US0168,5,2,2.5
12,US0169,5,3,1.6666666666666667
12,US0170,4,4,1
12,US0171,5,5,1
12,US0172,11,6,1.8333333333333333
12,US0173,14,7,2
12,US0174,33,8,4.125
12,US0175,31,9,3.4444444444444446
12,US0176,23,10,2.3
12,US0177,24,11,2.1818181818181817
12,US0178,38,12,3.1666666666666665
12,US0179,61,13,4.6923076923076925
12,US0180,59,14,4.214285714285714
12,US0181,39,14,2.7857142857142856
12,US0182,44,14,3.142857142857143
13,US0183,3,1,3
13,US0184,6,2,3
13,US0185,3,3,1
13,US0186,7,4,1.75
13,US0187,13,5,2.6
13,US0188,16,6,2.6666666666666665
13,US0189,9,6,1.5
13,US0190,11,7,1.5714285714285714
13,US0191,7,8,0.875
13,US0192,6,9,0.6666666666666666
13,US0193,11,9,1.2222222222222223
13,US0194,29,10,2.9
13,US0195,15,11,1.3636363636363635
13,US0196,49,12,4.083333333333333
13,US0197,25,13,1.9230769230769231
13,US0198,27,14,1.9285714285714286
13,US0199,29,14,2.0714285714285716
13,US0200,15,14,1.0714285714285714
13,US0201,46,14,3.2857142857142856
13,US0202,45,14,3.2142857142857144
14,US0203,3,1,3
14,US0204,7,2,3.5
14,US0205,11,3,3.6666666666666665
14,US0206,3,4,0.75
14,US0207,2,4,0.5
14,US0208,5,5,1
14,US0209,20,6,3.3333333333333335
14,US0210,23,7,3.2857142857142856
14,US0211,24,8,3
14,US0212,8,9,0.8888888888888888
14,US0213,18,10,1.8
14,US0214,25,11,2.272727272727273
14,US0215,52,12,4.333333333333333
14,US0216,12,13,0.9230769230769231
14,US0217,20,14,1.4285714285714286
14,US0218,46,14,3.2857142857142856
14,US0219,44,14,3.142857142857143
14,US0220,22,14,1.5714285714285714
14,US0221,59,14,4.214285714285714
15,US0222,5,1,5
15,US0223,6,2,3
15,US0224,16,3,5.333333333333333
15,US0225,16,4,4
15,US0226,10,5,2
15,US0227,12,6,2
15,US0228,19,7,2.7142857142857144
15,US0229,19,8,2.375
15,US0230,17,9,1.8888888888888888
15,US0231,31,10,3.1
15,US0232,21,11,1.9090909090909092
15,US0233,43,12,3.5833333333333335
15,US0234,33,13,2.5384615384615383
15,US0235,40,13,3.076923076923077
15,US0236,23,13,1.7692307692307692
15,US0237,60,13,4.615384615384615
16,US0111,8,1,8
16,US0125,13,8,1.625
16,US0127,22,9,2.4444444444444446
16,US0179,52,14,3.7142857142857144
16,US0196,14,6,2.3333333333333335
16,US0197,32,14,2.2857142857142856
16,US0201,31,10,3.1
16,US0218,3,3,1
16,US0231,18,12,1.5
16,US0235,33,14,2.357142857142857
16,US0238,2,2,1
16,US0239,9,4,2.25
16,US0240,14,5,2.8
16,US0241,3,6,0.5
16,US0242,18,7,2.5714285714285716
16,US0243,11,7,1.5714285714285714
16,US0244,21,11,1.9090909090909092
16,US0245,16,12,1.3333333333333333
16,US0246,39,13,3
16,US0247,17,14,1.2142857142857142
17,US0248,3,1,3
17,US0249,7,1,7
17,US0250,4,2,2
17,US0251,3,3,1
17,US0252,20,4,5
17,US0253,4,5,0.8
17,US0254,22,6,3.6666666666666665
17,US0255,11,6,1.8333333333333333
17,US0256,27,7,3.857142857142857
17,US0257,15,8,1.875
17,US0258,47,9,5.222222222222222
17,US0259,27,10,2.7
17,US0260,34,11,3.090909090909091
17,US0261,44,12,3.6666666666666665
17,US0262,39,12,3.25
17,US0263,51,12,4.25
17,US0264,25,12,2.0833333333333335
17,US0265,31,12,2.5833333333333335
18,US0266,4,1,4
18,US0267,5,2,2.5
18,US0268,4,3,1.3333333333333333
18,US0269,7,4,1.75
18,US0270,17,5,3.4
18,US0271,7,6,1.1666666666666667
18,US0272,15,7,2.142857142857143
18,US0273,34,8,4.25
18,US0274,22,9,2.4444444444444446
18,US0275,23,10,2.3
18,US0276,14,11,1.2727272727272727
18,US0277,58,12,4.833333333333333
18,US0278,32,13,2.4615384615384617
18,US0279,30,13,2.3076923076923075
18,US0280,61,13,4.6923076923076925
18,US0281,71,13,5.461538461538462
19,US0282,3,1,3
19,US0283,5,2,2.5
19,US0284,5,2,2.5
19,US0285,5,3,1.6666666666666667
19,US0286,3,4,0.75
19,US0287,9,5,1.8
19,US0288,17,6,2.8333333333333335
19,US0289,10,7,1.4285714285714286
19,US0290,18,8,2.25
19,US0291,8,9,0.8888888888888888
19,US0292,16,10,1.6
19,US0293,20,11,1.8181818181818181
19,US0294,16,12,1.3333333333333333
19,US0295,15,12,1.25
19,US0296,39,13,3
19,US0297,33,14,2.357142857142857
19,US0298,17,14,1.2142857142857142
19,US0299,29,14,2.0714285714285716
19,US0300,108,14,7.714285714285714
19,US0301,15,14,1.0714285714285714
20,US0025,21,14,1.5
20,US0031,24,14,1.7142857142857142
20,US0055,20,7,2.857142857142857
20,US0107,38,13,2.923076923076923
20,US0112,27,14,1.9285714285714286
20,US0144,6,2,3
20,US0150,17,5,3.4
20,US0179,7,4,1.75
20,US0181,8,12,0.6666666666666666
20,US0195,12,12,1
20,US0197,40,14,2.857142857142857
20,US0231,8,6,1.3333333333333333
20,US0235,23,11,2.090909090909091
20,US0236,4,9,0.4444444444444444
20,US0258,5,3,1.6666666666666667
20,US0263,2,1,2
20,US0274,6,6,1
20,US0277,32,8,4
20,US0281,28,10,2.8
20,US0300,68,14,4.857142857142857
21,US0302,2,1,2
21,US0303,9,2,4.5
21,US0304,12,3,4
21,US0305,11,4,2.75
21,US0306,8,5,1.6
21,US0307,7,6,1.1666666666666667
21,US0308,6,6,1
21,US0309,14,7,2
21,US0310,18,8,2.25
21,US0311,42,9,4.666666666666667
21,US0312,27,10,2.7
21,US0313,50,11,4.545454545454546
21,US0314,5,11,0.45454545454545453
21,US0315,20,12,1.6666666666666667
21,US0316,33,13,2.5384615384615383
21,US0317,13,14,0.9285714285714286
21,US0318,32,14,2.2857142857142856
21,US0319,31,14,2.2142857142857144
21,US0320,36,14,2.5714285714285716
21,US0321,40,14,2.857142857142857
22,US0055,97,14,6.928571428571429
22,US0300,16,4,4
22,US0322,12,3,4
22,US0323,32,14,2.2857142857142856
22,US0324,13,5,2.6
22,US0325,6,6,1
22,US0326,15,7,2.142857142857143
22,US0327,11,8,1.375
22,US0328,27,14,1.9285714285714286
22,US0329,18,10,1.8
22,US0330,17,11,1.5454545454545454
22,US0331,20,13,1.5384615384615385
22,US0332,23,12,1.9166666666666667
22,US0333,24,14,1.7142857142857142
22,US0334,15,14,1.0714285714285714
22,US0335,23,14,1.6428571428571428
22,US0336,14,14,1
22,US0337,41,14,2.9285714285714284
23,US0201,48,14,3.4285714285714284
23,US0277,78,14,5.571428571428571
23,US0338,5,3,1.6666666666666667
23,US0339,13,8,1.625
23,US0340,5,4,1.25
23,US0341,9,5,1.8
23,US0342,5,6,0.8333333333333334
23,US0343,10,7,1.4285714285714286
23,US0344,7,10,0.7
23,US0345,25,10,2.5
23,US0346,23,11,2.090909090909091
23,US0347,4,11,0.36363636363636365
23,US0348,61,12,5.083333333333333
23,US0349,18,13,1.3846153846153846
23,US0350,31,14,2.2142857142857144
23,US0351,8,14,0.5714285714285714
23,US0352,25,14,1.7857142857142858
23,US0353,25,14,1.7857142857142858
24,US0354,2,1,2
24,US0355,6,2,3
24,US0356,8,3,2.6666666666666665
24,US0357,7,4,1.75
24,US0358,6,5,1.2
24,US0359,29,6,4.833333333333333
24,US0360,17,7,2.4285714285714284
24,US0361,12,8,1.5
24,US0362,19,9,2.111111111111111
24,US0363,4,10,0.4
24,US0364,49,11,4.454545454545454
24,US0365,15,12,1.25
24,US0366,18,13,1.3846153846153846
24,US0367,41,14,2.9285714285714284
24,US0368,16,14,1.1428571428571428
24,US0369,38,14,2.7142857142857144
24,US0370,42,14,3
24,US0371,53,14,3.7857142857142856
25,US0022,40,14,2.857142857142857
25,US0196,49,11,4.454545454545454
25,US0288,21,4,5.25
25,US0372,9,1,9
25,US0373,7,2,3.5
25,US0374,9,3,3
25,US0375,6,5,1.2
25,US0376,6,5,1.2
25,US0377,11,6,1.8333333333333333
25,US0378,21,7,3
25,US0379,28,8,3.5
25,US0380,8,9,0.8888888888888888
25,US0381,21,10,2.1
25,US0382,8,12,0.6666666666666666
25,US0383,30,13,2.3076923076923075
25,US0384,66,14,4.714285714285714
25,US0385,58,14,4.142857142857143
25,US0386,37,14,2.642857142857143
26,US0246,15,14,1.0714285714285714
26,US0259,22,8,2.75
26,US0312,13,13,1
26,US0322,9,1,9
26,US0333,25,12,2.0833333333333335
26,US0337,33,10,3.3
26,US0346,35,14,2.5
26,US0348,67,14,4.785714285714286
26,US0350,14,5,2.8
26,US0384,35,11,3.1818181818181817
26,US0387,3,2,1.5
26,US0388,1,3,0.3333333333333333
26,US0389,12,4,3
26,US0390,12,4,3
26,US0391,13,6,2.1666666666666665
26,US0392,4,7,0.5714285714285714
26,US0393,14,9,1.5555555555555556
26,US0394,40,12,3.3333333333333335
26,US0395,25,14,1.7857142857142858
26,US0396,21,14,1.5
27,US0010,25,14,1.7857142857142858
27,US0032,25,14,1.7857142857142858
27,US0107,7,2,3.5
27,US0182,20,10,2
27,US0195,8,5,1.6
27,US0274,48,14,3.4285714285714284
